label,subject,body,sender,reply_to,html,attachments,spf,dkim,dmarc
safe,Meeting agenda,Hello team please find the agenda for tomorrow's internal meeting.,"alice@example.com","alice@example.com","<p>Hello team</p>","",pass,pass,pass
safe,Your monthly statement,Your monthly account statement is available in the official customer portal.,"billing@bank-example.com","billing@bank-example.com","<p>Your statement is ready.</p>","",pass,pass,pass
safe,Project update,The project update is attached. Please review it before Friday.,"manager@company.example","manager@company.example","<p>Project update attached.</p>","report.pdf",pass,pass,pass
safe,Team lunch,Would you like to join the team lunch on Friday at 1 PM?,"bob@example.com","bob@example.com","<p>Lunch on Friday?</p>","",pass,pass,pass
safe,Password policy notice,This is a reminder that company password policy requires regular password changes. Visit the internal portal from your usual bookmark.,"it@example.com","it@example.com","<p>Password policy reminder.</p>","",pass,pass,pass
phishing,Urgent account verification,Urgent! Your account will be suspended. Verify your password immediately at http://198.51.100.22/login,"security@paypa1-example.com","verify@random-mail.example","<form><a href='http://198.51.100.22/login'>Verify now</a></form>","",fail,fail,fail
phishing,You won a prize,You have won a prize. Claim your reward now by clicking https://bit.ly/free-reward and provide your login details.,"winner@free-prize.example","claim@another-domain.example","<a href='https://bit.ly/free-reward'>Claim</a>","",none,none,none
phishing,Invoice overdue,Your invoice is overdue. Pay immediately using https://secure-login.example.xyz/confirm or your account may be closed.,"accounts@secure-login.example.xyz","reply@different.example","<script>alert('x')</script><a href='https://secure-login.example.xyz/confirm'>Pay</a>","invoice.js",fail,none,fail
phishing,Microsoft security alert,We detected unusual activity. Confirm your password within 30 minutes at https://microsoft-login.example.xyz/verify,"support@microsoft-security.example","helpdesk@random.example","<a href='https://microsoft-login.example.xyz/verify'>Confirm</a>","",none,fail,none
phishing,Shared document,Someone shared a document with you. Sign in now to view it: http://203.0.113.5/share,"documents@cloud-alert.example","reply@random.example","<a href='http://203.0.113.5/share'>Open document</a>","payload.exe",fail,none,fail
phishing,Final warning,Final warning! Confirm your identity, password and bank details immediately or access will be terminated.,"admin@account-check.example","admin@random.example","<form><input type='password'></form>","update.scr",none,fail,fail
phishing,Security confirmation,Your mailbox is at risk. Click http://tinyurl.com/reset-account and reset your password now.,"security@service.example","reply@random.example","<a href='http://tinyurl.com/reset-account'>Reset</a>","",none,none,fail
safe,Training resources,Cybersecurity training resources are available on the internal learning portal.,"training@example.com","training@example.com","<p>Training resources</p>","training.pdf",pass,pass,pass
safe,Holiday schedule,Please find the holiday schedule for the next quarter.,"hr@example.com","hr@example.com","<p>Holiday schedule</p>","schedule.pdf",pass,pass,pass
